long,lat,easting,northing,Y_mean,Y_mean_c,Y_sd,prob,quantile,quantile_c,elevation,slope,aspect,curvature,twi
-82.0219221857455,26.56428887465643,2205920.239576136,3053469.146598101,-8.894978938809793,3.4421878202406733,0.6783345292070354,0.0019334268998857,-7.779217928157181,16.676797504633477,5.0,2.0,90.0,-1.0,7.941743691836643
-81.75032058171554,26.53065713182232,2234233.538200122,3053469.146598101,-8.908677828854817,3.376143809529086,0.7364725401314184,0.0036879587758355,-7.69728830006949,18.725426850692468,12.0,1.0,228.0,5.0,8.607715418818213
-81.47919960558549,26.49654845699054,2262546.836824108,3053469.146598101,-8.89791191041521,3.427939766362389,0.7901836790534164,0.0065025848359096,-7.598175419966341,21.54289980007438,12.0,4.0,344.0,4.0,7.261413878822431
-81.20856537614912,26.461966324810124,2290860.135448093,3053469.146598101,-8.84457519137647,3.6965083036824127,0.8230147674067912,0.0101773063940463,-7.490836366172787,25.074292066282297,11.0,4.0,151.0,2.0,7.261413878822431
-80.93842393830583,26.426914244997658,2319173.434072079,3053469.146598101,-8.760107943730075,4.165527551207397,0.8279715893096593,0.0137677483446522,-7.398215872041308,28.583360579337796,8.0,1.0,48.0,-4.0,8.607715418818213
-80.66878126259988,26.391395761471767,2347486.7326960647,3053469.146598101,-8.698971128449474,4.541707613700036,0.8195354990323268,0.0157015175054054,-7.350955190450667,30.55900704410165,6.0,2.0,270.0,-4.0,7.941743691836643
-80.39964324478598,26.35541445148493,2375800.031320051,3053469.146598101,-8.672102566216553,4.717602741927828,0.8045842850846524,0.0154436423153945,-7.348679186706907,30.65752446303992,5.0,2.0,246.0,-1.0,7.941743691836643
-80.13101570542119,26.31897392475284,2404113.3299440364,3053469.146598101,-8.64736699880769,4.885550562588303,0.7786342484949502,0.0139499029247297,-7.366627631102139,29.889162709195208,10.0,3.0,253.0,-11.0,7.545104852168523
-99.79040427221835,27.85830759032372,422182.4262650353,3081782.4452220867,-7.54626549525556,23.18386042342576,0.2339670377222582,0.0045145874886731,-7.161423964671012,39.95235855198124,186.0,1.0,229.0,1.0,8.607715418818213
-99.5028336393724,27.85965559583793,450495.7248890209,3081782.4452220867,-7.562086097115954,22.670922775981463,0.2309455357978267,0.0033277172151991,-7.182214494930648,38.79481546995756,212.0,2.0,270.0,2.0,7.941743691836643
-99.21524751934248,27.860404123812504,478809.0235130065,3081782.4452220867,-7.602474760707831,21.41231515905028,0.227467787741939,0.001680376639472,-7.228323545025875,36.34588602502129,148.0,2.0,270.0,1.0,7.941743691836643
-98.92765476930134,27.860553088314976,507122.3221369926,3081782.4452220867,-7.656948389871797,19.824736451430663,0.2252447078416831,0.0006789749277631759,-7.28645381522678,33.477556957343,142.0,2.0,180.0,-1.0,7.941743691836643
-98.64006424765218,27.860102472243145,535435.6207609782,3081782.4452220867,-7.711556614601243,18.351370439224773,0.2265361817974414,0.0003060024286807788,-7.338937754335983,31.082786248020685,171.0,2.0,180.0,-2.0,7.941743691836643
-98.35248481238452,27.8590523273302,563748.9193849638,3081782.4452220867,-7.759409937492249,17.150556767226963,0.2316688317211775,0.0001876369946304305,-7.3783486193840595,29.397818598554863,120.0,1.0,229.0,0.0,8.607715418818213
-98.06492531943076,27.857402774129163,592062.2180089494,3081782.4452220867,-7.795381228925016,16.299923264361656,0.2395225207087402,0.00016505971171382045,-7.401401742000686,28.45487156931738,64.0,1.0,180.0,9.0,8.607715418818213
-97.77739462102316,27.855154001976388,620375.5166329355,3081782.4452220867,-7.821806343375258,15.702033758927668,0.2481400206120715,0.00017696823722813295,-7.413652330479679,27.96615192065612,31.0,0.0,0.0,-10.0,11.522875795823396
-82.2571557305607,26.84221826751823,2177606.9409521506,3081782.4452220867,-8.981302730299753,3.0466035574169497,0.659744005098346,0.0009641107988598567,-7.896120410654248,14.135591650460384,3.0,2.0,0.0,-4.0,7.941743691836643
-81.98455117570857,26.80871400637913,2205920.239576136,3081782.4452220867,-8.975433073626807,3.071998432606502,0.7010010215198238,0.0018060696284656,-7.822389000883238,15.689100781476862,7.0,0.0,0.0,1.0,11.522875795823396
-81.7124253497464,26.774724468033373,2234233.538200122,3081782.4452220867,-8.969353149719174,3.098526231908308,0.7532993944052818,0.0034662137780722,-7.730285908651298,17.871683145800983,11.0,1.0,180.0,-5.0,8.607715418818213
-81.44078448612221,26.740253136237477,2262546.836824108,3081782.4452220867,-8.957998361235173,3.148684149040159,0.8059892038505969,0.0060455649366792,-7.63226409599779,20.529002298005643,,,,,
-81.16963474365072,26.70530353106256,2290860.135448093,3081782.4452220867,-8.906795774669822,3.385141782431906,0.8382761839613703,0.0093429663053141,-7.527954153093924,23.792059853021843,15.0,2.0,294.0,-6.0,7.941743691836643
-80.89898220602399,26.66987920801799,2319173.434072079,3081782.4452220867,-8.835815460817729,3.742585774388093,0.8455202553379063,0.0122995594754573,-7.445058402164239,26.751251073600795,8.0,4.0,301.0,0.0,7.261413878822431
-80.62883288134934,26.63398375717188,2347486.7326960647,3081782.4452220867,-8.784857328218413,4.0222528601231,0.833846853034689,0.01327761373315,-7.413301307682234,27.980037969308384,6.0,0.0,0.0,-5.0,11.522875795823396
-80.35919270171426,26.59762080226881,2375800.031320051,3081782.4452220867,-8.751667460356083,4.215547712193572,0.8099915831847697,0.0124696595789324,-7.41934986695445,27.741725346543934,7.0,0.0,0.0,1.0,11.522875795823396
-80.09006752277838,26.56079399984526,2404113.3299440364,3081782.4452220867,-8.708113084716656,4.483367541844317,0.7724501483086414,0.0108684113055514,-7.437545656631984,27.03698064059332,9.0,3.0,143.0,0.0,7.545104852168523
-99.79227040677064,28.11387550886344,422182.4262650353,3110095.7438460723,-7.540795288589432,23.36390302576818,0.2292010755715724,0.0041285423146773,-7.1637930681343525,39.81873075035097,199.0,0.0,0.0,5.0,11.522875795823396
-99.50402091325851,28.115238035687742,450495.7248890209,3110095.7438460723,-7.547804131898368,23.1334692632659,0.2291261501915539,0.0037607645401257,-7.170925152726363,39.4191418585246,203.0,1.0,131.0,2.0,8.607715418818213
-99.21575577593946,28.11599462729089,478809.0235130065,3110095.7438460723,-7.574230813095461,22.28487801259225,0.2296207119143437,0.0026999418163243,-7.1965383522799735,38.0168848967204,124.0,1.0,131.0,-7.0,8.607715418818213
-98.92748394155456,28.116145196548757,507122.3221369926,3110095.7438460723,-7.619264319921431,20.90989958764476,0.2300986722193577,0.0014788889896666,-7.2407856843647025,35.7109558873198,,,,,
-98.63921435809948,28.11568972612197,535435.6207609782,3110095.7438460723,-7.669568619815407,19.4740561137872,0.2328174944770275,0.0008067589617652389,-7.286617919607114,33.469788692943325,95.0,3.0,0.0,-6.0,7.545104852168523
-98.3509559731481,28.114628268461143,563748.9193849638,3110095.7438460723,-7.71754890362151,18.196513931403807,0.2389320286944683,0.000531003445112028,-7.324540689628541,31.72211443538789,148.0,4.0,270.0,2.0,7.261413878822431
-98.06271773217702,28.11296094579093,592062.2180089494,3110095.7438460723,-7.755309742341212,17.25029232136771,0.2479846342220036,0.0004726275495500225,-7.347411317312916,30.712542193649245,81.0,1.0,49.0,1.0,8.607715418818213
-97.77450857689068,28.110687950072947,620375.5166329355,3110095.7438460723,-7.779184526242933,16.677585279325307,0.2598439953403117,0.0005825017286856706,-7.35177918806586,30.52341819728252,44.0,1.0,0.0,4.0,8.607715418818213
-97.48633744354854,28.107809542947432,648688.8152569211,3110095.7438460723,-7.789425005850732,16.437801199034578,0.2713610514554792,0.0008241312046167952,-7.343075796150822,30.90142426662332,24.0,2.0,66.0,-8.0,7.941743691836643
-82.21984080205846,27.086940405475623,2177606.9409521506,3110095.7438460723,-9.040977526373984,2.8000428566460767,0.6789581105992355,0.000963676918571684,-7.924190815606713,13.58544297722104,8.0,0.0,0.0,11.0,11.522875795823396
-81.94670142442816,27.053081846327917,2205920.239576136,3110095.7438460723,-9.028875801102718,2.848376260269826,0.7223583798369785,0.0018769957252666,-7.840702000069075,15.28799932559399,,,,,
-81.67404514299962,27.018733090566045,2234233.538200122,3110095.7438460723,-9.01079695384107,2.922140442230359,0.7670412160594802,0.0034077125363588,-7.7491264275843665,17.401796805665498,17.0,1.0,270.0,3.0,8.607715418818213
-81.401878232985,26.98389766742737,2262546.836824108,3110095.7438460723,-8.992835580156589,2.997316891539089,0.8133248690533426,0.005708448152063,-7.655035219404368,19.87844644599089,19.0,1.0,180.0,5.0,8.607715418818213
-81.13020689370931,26.94857914284954,2290860.135448093,3110095.7438460723,-8.94735767972205,3.196424314949664,0.8427518227235503,0.0084844983024982,-7.561154287495254,22.70081702926576,9.0,1.0,48.0,2.0,8.607715418818213
-80.85903724811936,26.91278111857994,2319173.434072079,3110095.7438460723,-8.895247864048736,3.4408789486303024,0.8516569555455831,0.0106893339655918,-7.494396831801136,24.948356990797624,3.0,0.0,0.0,0.0,11.522875795823396
-80.5883753423205,26.876507231281884,2347486.7326960647,3110095.7438460723,-8.859077037937347,3.6214700672504567,0.8420505970349375,0.0111702932091796,-7.474027059327778,25.67748267409375,10.0,1.0,0.0,-10.0,8.607715418818213
